Tianjin,Beijing,Shanghai,Chongqing,Hangzhou,Chengdu,US,Japan
2426.33109937464,6757.38196440337,3947.5106962426,-814.703202869915,-7885.16054169755,-331.555582826115,31741148.0397819,105104.337696324
9924.7662394652,30515.420047239,8311.64064258428,-10119.5175774441,-42921.0387964579,-3795.19228327392,202945560.474654,-915.201760420415
35813.760122923,107292.938957637,23995.0989442324,-35388.9738273565,-135746.396698876,-11212.2311229047,1126116990.74068,-263901.287263506
104616.580072637,303641.079230477,69195.7708633029,-88961.6300803244,-329636.564750821,-23792.2317174754,4799118176.90422,-724243.082587388
