Tianjin,Beijing,Shanghai,Chongqing,Hangzhou,Chengdu,US,Japan
-380370.44000076,-79827.3037973234,-26785.3707458036,-6461.32275428463,-75591.5202227589,9216.21221563514,-24513426.8086729,42013.2261514126
-4160730.18000912,-746503.841626756,-208851.452869486,-34642.0121414967,-687451.502555361,125266.04466917,-187502865.756855,96407.298445961
-25252703.2000593,-4032184.78663614,-898243.825017928,-59354.6175793539,-3588178.33487884,895831.468988537,-1022174434.31091,-45406.5756422784
-111679664.270277,-16305248.7497968,-2674987.99341117,256830.956263705,-13903798.3582353,4501925.33604576,-4222608913.68096,-1475358.65283848
