1,705.15,1023.87,1801.6,639.9,261.3806712,474.6
2,872.44,1250.58,2129.04,679.32,494.2625709,636.9
3,900.05,1267.59,2181.04,795.43,789.2955216,671.5
4,1186.22,3272.49,3032.27,954.45,1384.464744,588
5,860.34,1681.56,2296.72,697.22,276.1017217,511.6
6,1125.68,1856.46,2485.21,770.9,560.3115617,712.5
7,1108.06,1975.16,2577.25,852.52,1107.450191,743.1
8,1243.65,2207.15,2937.79,1165.56,1356.966524,782.8
9,989.72,1882.78,2630.5,783.77,372.6082797,612.9
10,1322.54,2181.48,2931.41,893.9,699.551488,833.4
11,1289.04,2355.52,3029.06,1080.24,1044.450674,903
12,1416.98,2586.45,3410.19,1353.91,1711.719114,975.1
13,1230.6,2148.3,3040.8,963.8,456.8980889,762
14,1721.3,2824.5,3489.9,1141,901.9990352,984.2
15,1672,2613.5,3398.8,1314.8,1554.632539,1075.1
16,1730.5,2901.7,3768.7,1677.1,1516.159532,1079.7
